33	0101400005	667	A1	04	1.621	667	Stonelick fine sandy loam	Favorable	113.0	A1	0-2%	UNERODED	1.0	1.0	113.0	113.0	408.49	68.08166666666666	110.36038166666665
34	0101400005	667	A1	06	0.4021	667	Stonelick fine sandy loam	Favorable	113.0	A1	0-2%	UNERODED	1.0	1.0	113.0	113.0	408.49	0.0	0.0
35	0101400005	668	B1	03	0.5416	668	Kaneville silt loam	Favorable	104.0	B1	2-5%	UNERODED	0.99	0.98	103.0	103.0	320.98	106.99333333333334	57.94758933333333
36	0101400005	668	B1	04	0.1424	668	Kaneville silt loam	Favorable	104.0	B1	2-5%	UNERODED	0.99	0.98	103.0	103.0	320.98	53.49666666666667	7.617925333333334
37	0101400005	668	B1	06	0.1111	668	Kaneville silt loam	Favorable	104.0	B1	2-5%	UNERODED	0.99	0.98	103.0	103.0	320.98	0.0	0.0
38	0101400005	679	A1	02	17.0328	679	Mannon silt loam	Favorable	126.0	A1	0-2%	UNERODED	1.0	1.0	126.0	126.0	718.43	718.43	12236.874504000001
39	0101400005	679	A1	06	0.2568	679	Mannon silt loam	Favorable	126.0	A1	0-2%	UNERODED	1.0	1.0	126.0	126.0	718.43	0.0	0.0
40	0101400005	679	B1	02	0.0168	679	Mannon silt loam	Favorable	126.0	B1	2-5%	UNERODED	0.99	0.98	125.0	125.0	669.71	669.71	11.251128
41	0101400005	680	A1	02	10.8688	680	Blackberry silt loam	Favorable	105.0	A1	0-2%	UNERODED	1.0	1.0	105.0	105.0	338.97	338.97	3684.1971360000002
42	0101400005	680	A1	03	1.0299	680	Blackberry silt loam	Favorable	105.0	A1	0-2%	UNERODED	1.0	1.0	105.0	105.0	338.97	112.99000000000001	116.36840100000002
43	0101400005	680	A1	04	0.6034	680	Blackberry silt loam	Favorable	105.0	A1	0-2%	UNERODED	1.0	1.0	105.0	105.0	338.97	56.495000000000005	34.089083
44	0101400005	791	B1	02	2.1698	791	Volney silt loam, bedrock substratum	Favorable	96.0	B1	2-5%	UNERODED	0.99	0.98	95.0	95.0	253.59	253.59	550.239582
45	0101400005	791	B1	04	0.0587	791	Volney silt loam, bedrock substratum	Favorable	96.0	B1	2-5%	UNERODED	0.99	0.98	95.0	95.0	253.59	42.265	2.4809555000000003
46	0101400005	8321	A1	04	0.9406					A1	0-2%	UNERODED	1.0	1.0					
47	0101400005	8321	A1	05	1.1884					A1	0-2%	UNERODED	1.0	1.0				33.22	39.47864799999999
48	0101400005	8321	A1	06	0.0369					A1	0-2%	UNERODED	1.0	1.0				0.0	0.0
49	0101400005	969	F1	02	0.0963	969	Rodman-Casco complex	Unfavorable	81.0	F1	18-35%	UNERODED	0.79	0.76	62.0	62.0	166.56999999999996	166.56999999999996	16.040690999999995
50	0101400005	969	F1	03	1.2859	969	Rodman-Casco complex	Unfavorable	81.0	F1	18-35%	UNERODED	0.79	0.76	62.0	62.0	166.56999999999996	55.52333333333332	71.39745433333331
51	0101400005	969	F1	04	5.7969	969	Rodman-Casco complex	Unfavorable	81.0	F1	18-35%	UNERODED	0.79	0.76	62.0	62.0	166.56999999999996	27.76166666666666	160.93160549999996
52	0101400005	969	F1	05	0.0607	969	Rodman-Casco complex	Unfavorable	81.0	F1	18-35%	UNERODED	0.79	0.76	62.0	62.0	166.56999999999996	33.22	2.016454
53	0101400005	969	F1	06	0.1461	969	Rodman-Casco complex	Unfavorable	81.0	F1	18-35%	UNERODED	0.79	0.76	62.0	62.0	166.56999999999996	0.0	0.0
